CDS_CODE,COUNTY,GR_12
19648731936749,Los Angeles,490
19648731936749,Los Angeles,486
19644511932441,Los Angeles,462
19644511932441,Los Angeles,451
19644511939164,Los Angeles,439
19644511939164,Los Angeles,372
19647331932987,Los Angeles,345
19648081935998,Los Angeles,341
19648081930825,Los Angeles,338
19648081930825,Los Angeles,337
19647331931047,Los Angeles,334
19648081935998,Los Angeles,317
19647331931047,Los Angeles,315
19648081930155,Los Angeles,314
19647331932987,Los Angeles,302
19647331938307,Los Angeles,300
19647331938307,Los Angeles,295
19642460100081,Los Angeles,293
19651281931302,Los Angeles,291
19651281931302,Los Angeles,291
19647331933381,Los Angeles,290
19642611930288,Los Angeles,289
19645271932706,Los Angeles,287
19642611930288,Los Angeles,284
19648081930155,Los Angeles,282
19647251934470,Los Angeles,279
19642460100081,Los Angeles,275
19645271932706,Los Angeles,263
19651281934868,Los Angeles,263
19647251934470,Los Angeles,262
19647331933381,Los Angeles,262
19647251939875,Los Angeles,260
19651281934868,Los Angeles,260
19642461936624,Los Angeles,256
19647331937622,Los Angeles,253
19647331930866,Los Angeles,246
19647251935758,Los Angeles,245
19647331935865,Los Angeles,243
19651281937903,Los Angeles,243
19647251935758,Los Angeles,242
19647331937622,Los Angeles,242
19647330109454,Los Angeles,236
19647251939875,Los Angeles,233
19647251995570,Los Angeles,232
19734601932862,Los Angeles,232
19647251995935,Los Angeles,231
19647331937424,Los Angeles,230
19647331932623,Los Angeles,228
19651281937903,Los Angeles,228
19647741935436,Los Angeles,227
19647331930866,Los Angeles,226
19647741935436,Los Angeles,225
19642871930601,Los Angeles,224
19642870114397,Los Angeles,223
19734601932862,Los Angeles,222
19647331937424,Los Angeles,221
19642461936624,Los Angeles,217
19650941939537,Los Angeles,217
19647331936350,Los Angeles,216
19651281939701,Los Angeles,216
19642461995398,Los Angeles,214
19647331933746,Los Angeles,214
19647331932623,Los Angeles,214
19642461996644,Los Angeles,210
19646831930080,Los Angeles,209
19647331937838,Los Angeles,209
19642461995398,Los Angeles,208
19651281939701,Los Angeles,207
19734451935246,Los Angeles,205
19642871938166,Los Angeles,204
19646831931781,Los Angeles,204
19647251936947,Los Angeles,204
19649071933324,Los Angeles,203
19647331936350,Los Angeles,202
19734601939149,Los Angeles,202
19651361995802,Los Angeles,202
