cde_cds_code,cde_school_cde,cde_districtname,cde_school_address,cde_closed_school,lausd_local_district,charterorother,survey_status,charterschool,cde_mingrade,cde_maxgrade,schoolenrollment,cde_englishlearnersschool,cde_freereducedmealsschool,cde_aioran_pct,cde_asian_pct,cde_pi_pct,cde_filipino_pct,cde_latino_pct,cde_afamnh_pct,cde_whitenh_pct,cde_twoormore_pct,cde_nonerprt_pct,cde_dance_course_count,cde_music_course_count,cde_drama_course_count,cde_visual_arts_course_count,cde_media_arts_course_count,cde_estimatedfte_sum_dance,cde_estimatedfte_sum_music,cde_estimatedfte_sum_drama,cde_estimatedfte_sum_visualarts,cde_estimatedfte_sum_mediaarts,cde_9th_grade_dance_enrollment,cde_10th_grade_dance_enrollment,cde_11th_grade_dance_enrollment,cde_12th_grade_dance_enrollment,cde_9th_grade_music_enrollment,cde_10th_grade_music_enrollment,cde_11th_grade_music_enrollment,cde_12th_grade_music_enrollment,cde_9th_grade_drama_enrollment,cde_10th_grade_drama_enrollment,cde_11th_grade_drama_enrollment,cde_12th_grade_drama_enrollment,cde_9th_grade_visual_arts_enrollment,cde_10th_grade_visual_arts_enrollment,cde_11th_grade_visual_arts_enrollment,cde_12th_grade_visual_arts_enrollment,cde_9th_grade_media_arts_enrollment,cde_10th_grade_media_arts_enrollment,cde_11th_grade_media_arts_enrollment,cde_12th_grade_media_arts_enrollment,cde_9th_grade_dance_courses,cde_10th_grade_dance_courses,cde_11th_grade_dance_courses,cde_12th_grade_dance_courses,cde_9th_grade_music_courses,cde_10th_grade_music_courses,cde_11th_grade_music_courses,cde_12th_grade_music_courses,cde_9th_grade_drama_courses,cde_10th_grade_drama_courses,cde_11th_grade_drama_courses,cde_12th_grade_drama_courses,cde_9th_grade_visual_arts_courses,cde_10th_grade_visual_arts_courses,cde_11th_grade_visual_arts_courses,cde_12th_grade_visual_arts_courses,cde_9th_grade_media_arts_courses,cde_10th_grade_media_arts_courses,cde_11th_grade_media_arts_courses,cde_12th_grade_media_arts_courses,elementary,es_prektk,es_kinder,es_1st,es_2nd,es_3rd,es_4th,es_5th,es_6th,es_7th,es_8th,es_dance,esd_prektk,esd_kinder,esd_1st,esd_2nd,esd_3rd,esd_4th,esd_5th,esd_6th,esd_7th,esd_8th,esd_prektk_students,esd_kinder_students,esd_1st_students,esd_2nd_students,esd_3rd_students,esd_4th_students,esd_5th_students,esd_6th_students,esd_7th_students,esd_8th_students,esd_fte_rec,esd_teachingartist_specify,es_music,esm_prektk,esm_kinder,esm_1st,esm_2nd,esm_3rd,esm_4th,esm_5th,esm_6th,esm_7th,esm_8th,esm_prektk_students,esm_kinder_students,esm_1st_students,esm_2nd_students,esm_3rd_students,esm_4th_students,esm_5th_students,esm_6th_students,esm_7th_students,esm_8th_students,esm_fte_rec,esm_teachingartist_specify,es_theater,est_prektk,est_kinder,est_1st,est_2nd,est_3rd,est_4th,est_5th,est_6th,est_7th,est_8th,est_prektk_students,est_kinder_students,est_1st_students,est_2nd_students,est_3rd_students,est_4th_students,est_5th_students,est_6th_students,est_7th_students,est_8th_students,est_fte_rec,est_teachingartist_specify,es_visualarts,esva_prektk,esva_kinder,esva_1st,esva_2nd,esva_3rd,esva_4th,esva_5th,esva_6th,esva_7th,esva_8th,esva_prektk_students,esva_kinder_students,esva_1st_students,esva_2nd_students,esva_3rd_students,esva_4th_students,esva_5th_students,esva_6th_students,esva_7th_students,esva_8th_students,esva_fte_rec,esva_teachingartist_specify,es_mediaarts,esma_prektk,esma_kinder,esma_1st,esma_2nd,esma_3rd,esma_4th,esma_5th,esma_6th,esma_7th,esma_8th,esma_prektk_students,esma_kinder_students,esma_1st_students,esma_2nd_students,esma_3rd_students,esma_4th_students,esma_5th_students,esma_6th_students,esma_7th_students,esma_8th_students,esma_fte_rec,esma_teachingartist_specify,esas_dance,esas_music,esas_theater,esas_visualarts,esas_mediaarts,estypeartscurric,es_organization,secondary,ss_9th,ss_10th,ss_11th,ss_12th,ss_dance,ssd_teachingartist_specify,ss_music,ssm_teachingartist_specify,ss_theater,sst_teachingartist_specify,ss_visualarts,ssva_teachingartist_specify,ss_mediaarts,ssma_teachingartist_specify,ssas_dance,ssas_music,ssas_theater,ssas_visualarts,ssas_mediaarts,ss_organization,datayear
19101990106880,Jardin de la Infancia,,"307 East Seventh Street, Los Angeles, CA, 90014-2209",,,Los Angeles County Office of Education,Not complete,TRUE,K,1,39,92.30769231,97.43589744,0,0,0,0,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Survey not taken
19101990109660,Aspire Antonio Maria Lugo Academy,,"6100 Carmelita Avenue, Huntington Park, CA, 90255-4138",,,Los Angeles County Office of Education,Not complete,TRUE,K,6,400,39.5,93.25,0,0,0,0,99.5,0,0,0,0.5,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Survey not taken
19101990109942,Los Angeles International Charter High,,"625 Coleman Avenue, Los Angeles, CA, 90042-4903",,,Los Angeles County Office of Education,Not complete,TRUE,9,12,153,6.535947712,48.36601307,1.960784314,0,0,1.960784314,88.23529412,2.614379085,2.614379085,1.307189542,1.307189542,0,1,2,5,0,0,0.1667,0.2858,1,0,0,0,0,0,0,11,0,0,8,9,2,14,3,10,30,33,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,2,2,1,4,5,0,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,Survey not taken
19101990112128,Aspire Ollin University Preparatory Academy,,"2540 East 58th Street, Huntington Park, CA, 90255-2659",,,Los Angeles County Office of Education,Not complete,TRUE,6,12,601,12.81198003,95.67387687,0,0.499168053,0,0,99.00166389,0.499168053,0,0,0,0,0,4,2,0,0,0,0.4643,0.5,0,0,0,0,0,0,0,0,0,0,0,20,78,0,0,5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,2,0,0,0,0,TRUE,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,Survey not taken
19101990121772,Environmental Charter Middle,,"812 West 165th Place, Gardena, CA, 90247-5105",,,Los Angeles County Office of Education,Not complete,TRUE,6,8,356,21.06741573,65.16853933,0,2.808988764,0,1.966292135,78.65168539,15.16853933,1.404494382,0,0,0,0,0,6,0,0,0,0,1.0002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Survey not taken
19101990121939,"Rockey, Glenn Camp",,"1900 North Sycamore Canyon Road, San Dimas, CA, 91773",,,Los Angeles County Office of Education,Not complete,FALSE,7,12,36,16.66666667,55.55555556,0,2.777777778,0,0,50,47.22222222,0,0,0,0,1,0,5,0,0,0,0,0.731,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,2,2,0,0,0,0,TRUE,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,Survey not taken
19101990121954,Road to Success Academy at Campus Kilpatrick,,"427 South Encinal Canyon Road, Malibu, CA, 90265",,,Los Angeles County Office of Education,Not complete,FALSE,7,12,21,9.523809524,0,0,0,0,0,80.95238095,19.04761905,0,0,0,0,0,0,7,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,0,0,0,0,TRUE,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,Survey not taken
19101990121970,"Gonzales, David Camp",,"1301 North Las Virgenes Road, Calabasas, CA, 91302",,,Los Angeles County Office of Education,Not complete,FALSE,7,12,38,21.05263158,15.78947368,0,0,0,0,73.68421053,26.31578947,0,0,0,0,0,0,7,0,0,0,0,0.1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,TRUE,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,Survey not taken
19101990122028,Onizuka Camp,,"5300 West Avenue l, Lancaster, CA, 93536",,,Los Angeles County Office of Education,Not complete,FALSE,7,12,41,21.95121951,51.2195122,2.43902439,0,0,0,43.90243902,53.65853659,0,0,0,0,0,0,4,0,0,0,0,0.0202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,TRUE,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,Survey not taken
19101990122051,Scobee Camp,,"5300 West Avenue l, Lancaster, CA, 93536",,,Los Angeles County Office of Education,Not complete,FALSE,7,12,43,25.58139535,60.46511628,0,0,0,0,48.8372093,44.18604651,6.976744186,0,0,0,0,0,7,0,0,0,0,0.0167,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,0,0,0,0,TRUE,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,Survey not taken
